"run","random_seed","ID","dataHabitStrengthMeat"
1,1,27,-1.0
1,1,5,-1.0
1,1,29,-1.0
1,1,10,-1.0
1,1,26,-1.0
1,1,15,-1.0
1,1,11,-1.0
1,1,23,-1.0
1,1,12,-1.0
1,1,19,-1.0
1,1,24,-1.0
1,1,25,-1.0
1,1,1,-1.0
1,1,2,-1.0
1,1,18,-1.0
1,1,20,-1.0
1,1,9,-1.0
1,1,17,-1.0
1,1,8,-1.0
1,1,4,-1.0
1,1,28,-1.0
1,1,13,-1.0
1,1,16,-1.0
1,1,3,-1.0
1,1,7,-1.0
1,1,0,-1.0
1,1,22,-1.0
1,1,6,-1.0
1,1,14,-1.0
1,1,21,-1.0
3,3,29,-1.0
3,3,23,-1.0
3,3,17,-1.0
3,3,20,-1.0
3,3,27,-1.0
3,3,2,-1.0
3,3,9,-1.0
3,3,0,-1.0
3,3,1,-1.0
3,3,5,-1.0
3,3,28,-1.0
3,3,24,-1.0
3,3,16,-1.0
3,3,22,-1.0
3,3,8,-1.0
3,3,11,-1.0
3,3,13,-1.0
3,3,14,-1.0
3,3,18,-1.0
3,3,15,-1.0
3,3,25,-1.0
3,3,19,-1.0
3,3,26,-1.0
3,3,12,-1.0
3,3,21,-1.0
3,3,7,-1.0
3,3,4,-1.0
3,3,3,-1.0
3,3,6,-1.0
3,3,10,-1.0
5,5,3,-1.0
5,5,2,-1.0
5,5,25,-1.0
5,5,28,-1.0
5,5,9,-1.0
5,5,26,-1.0
5,5,14,-1.0
5,5,18,-1.0
5,5,4,-1.0
5,5,27,-1.0
5,5,16,-1.0
5,5,10,-1.0
5,5,21,-1.0
5,5,1,-1.0
5,5,5,-1.0
5,5,6,-1.0
5,5,7,-1.0
5,5,0,-1.0
5,5,29,-1.0
5,5,8,-1.0
5,5,15,-1.0
5,5,19,-1.0
5,5,20,-1.0
5,5,11,-1.0
5,5,17,-1.0
5,5,24,-1.0
5,5,23,-1.0
5,5,12,-1.0
5,5,13,-1.0
5,5,22,-1.0
7,7,26,-1.0
7,7,27,-1.0
7,7,22,-1.0
7,7,1,-1.0
7,7,13,-1.0
7,7,3,-1.0
7,7,10,-1.0
7,7,7,-1.0
7,7,25,-1.0
7,7,14,-1.0
7,7,19,-1.0
7,7,16,-1.0
7,7,28,-1.0
7,7,0,-1.0
7,7,21,-1.0
7,7,24,-1.0
7,7,20,-1.0
7,7,4,-1.0
7,7,15,-1.0
7,7,8,-1.0
7,7,23,-1.0
7,7,2,-1.0
7,7,18,-1.0
7,7,29,-1.0
7,7,11,-1.0
7,7,5,-1.0
7,7,6,-1.0
7,7,17,-1.0
7,7,9,-1.0
7,7,12,-1.0
9,9,17,-1.0
9,9,2,-1.0
9,9,5,-1.0
9,9,7,-1.0
9,9,18,-1.0
9,9,9,-1.0
9,9,10,-1.0
9,9,19,-1.0
9,9,29,-1.0
9,9,13,-1.0
9,9,3,-1.0
9,9,8,-1.0
9,9,12,-1.0
9,9,23,-1.0
9,9,4,-1.0
9,9,27,-1.0
9,9,11,-1.0
9,9,21,-1.0
9,9,16,-1.0
9,9,20,-1.0
