"run","isIntentional","HABIT_THRESHOLD_ABSOLUTE","eater1Count","OPENNESS_AVG_STRENGTH","isEvaluated","SELFE_AVG_STRENGTH","selfEbeta","CONSERVATION_AVG_STRENGTH","selfTk","SELFT_AVG_STRENGTH","vegetarianVenueCount","mixedVenueCount","diningOutPercent","weightVegEatingAction","filterOnAffordances","selfTbeta","isUpdatedPHistory","selfEk","randomSeed","filterOnHabits","OUTSIDE_CONTEXT","endTime","HABIT_THRESHOLD_RELATIVE","weightMeatEatingAction","meatVenueCount"
1,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,1,"false",1.0,500.0,1.0,1.0,1
5,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,5,"false",1.0,500.0,1.0,1.0,1
9,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,9,"false",1.0,500.0,1.0,1.0,1
2,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,2,"false",1.0,500.0,1.0,1.0,1
6,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,6,"false",1.0,500.0,1.0,1.0,1
10,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,10,"false",1.0,500.0,1.0,1.0,1
3,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,3,"false",1.0,500.0,1.0,1.0,1
7,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,7,"false",1.0,500.0,1.0,1.0,1
4,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,4,"false",1.0,500.0,1.0,1.0,1
8,"true",1.0,30,0.5,"false",0.5,0.1,0.5,0.5,0.5,1,2,100,1.0,"false",0.1,"false",0.5,8,"false",1.0,500.0,1.0,1.0,1
